Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 103.0.5060.114,,,2022-07-14 12:32:12,2022-07-14 12:32:28,15.995s,PASSED
,,,,,,,
Test Cases/TS_RegressionTest,Chrome 103.0.5060.114,,,2022-07-14 12:32:12,2022-07-14 12:32:21,8.413s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-14 12:32:13,2022-07-14 12:32:15,2.709s,PASSED
"navigateToUrl(""https://demo-store.katalon.com/"")",Chrome 103.0.5060.114,,,2022-07-14 12:32:15,2022-07-14 12:32:18,2.334s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/label_Descending""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:18,2022-07-14 12:32:18,0.471s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/img_x_card-img-top""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:18,2022-07-14 12:32:19,0.615s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/div_Brown_variants_color_pic__2r4gR""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:19,2022-07-14 12:32:19,0.511s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/button_XS""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:19,2022-07-14 12:32:20,0.362s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/a_XL""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:20,2022-07-14 12:32:20,0.491s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/input_All Products_auto_input__2ud9e""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:20,2022-07-14 12:32:21,0.476s,PASSED
,,,,,,,
Test Cases/mytestcase,Chrome 103.0.5060.114,,,2022-07-14 12:32:21,2022-07-14 12:32:28,7.180s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-14 12:32:21,2022-07-14 12:32:23,1.891s,PASSED
"navigateToUrl(""https://demo-store.katalon.com/"")",Chrome 103.0.5060.114,,,2022-07-14 12:32:23,2022-07-14 12:32:25,2.189s,PASSED
"click(findTestObject(""Object Repository/Demo_store/Page_Zack Market/div_ORDER_checkbox_design__sArRO""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:25,2022-07-14 12:32:25,0.377s,PASSED
"click(findTestObject(""Object Repository/Demo_store/Page_Zack Market/div_ORDER_checkbox_design__sArRO""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:25,2022-07-14 12:32:26,0.583s,PASSED
"click(findTestObject(""Object Repository/Demo_store/Page_Zack Market/div_ORDER_checkbox_design__sArRO""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:26,2022-07-14 12:32:27,0.587s,PASSED
"click(findTestObject(""Object Repository/Demo_store/Page_Zack Market/img_45.99 CAD_card-img-top""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:27,2022-07-14 12:32:27,0.597s,PASSED
"click(findTestObject(""Object Repository/Demo_store/Page_Zack Market/span_Buy Now""))",Chrome 103.0.5060.114,,,2022-07-14 12:32:27,2022-07-14 12:32:28,0.616s,PASSED
