Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_RegressionTest,Chrome 103.0.5060.114,,,2022-07-12 15:22:15,2022-07-12 15:22:24,9.322s,PASSED
,,,,,,,
Test Cases/TS_RegressionTest,Chrome 103.0.5060.114,,,2022-07-12 15:22:15,2022-07-12 15:22:24,8.987s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-12 15:22:16,2022-07-12 15:22:19,3.109s,PASSED
"navigateToUrl(""https://demo-store.katalon.com/"")",Chrome 103.0.5060.114,,,2022-07-12 15:22:19,2022-07-12 15:22:21,2.277s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/label_Descending""))",Chrome 103.0.5060.114,,,2022-07-12 15:22:21,2022-07-12 15:22:21,0.527s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/img_x_card-img-top""))",Chrome 103.0.5060.114,,,2022-07-12 15:22:21,2022-07-12 15:22:22,0.660s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/div_Brown_variants_color_pic__2r4gR""))",Chrome 103.0.5060.114,,,2022-07-12 15:22:22,2022-07-12 15:22:23,0.566s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/button_XS""))",Chrome 103.0.5060.114,,,2022-07-12 15:22:23,2022-07-12 15:22:23,0.407s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/a_XL""))",Chrome 103.0.5060.114,,,2022-07-12 15:22:23,2022-07-12 15:22:24,0.522s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/input_All Products_auto_input__2ud9e""))",Chrome 103.0.5060.114,,,2022-07-12 15:22:24,2022-07-12 15:22:24,0.507s,PASSED
